,VAR_NAME,MIN_VALUE,MAX_VALUE,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,WOE,IV
93,Specialization_Retail Management,0.0,0.0,6399,2489,0.3889670260978278,3910,0.6110329739021723,0.988875645609853,0.9898734177215189,-0.0010084878519677153,9.476979870521198e-05
94,Specialization_Retail Management,1.0,1.0,68,28,0.4117647058823529,40,0.5882352941176471,0.011124354390147001,0.010126582278481013,0.0939729188211193,9.476979870521198e-05
95,Specialization_Rural and Agribusiness,0.0,0.0,6419,2495,0.3886898270758685,3924,0.6113101729241315,0.991259435836313,0.9934177215189873,-0.0021749497397829665,0.0006167705538454907
96,Specialization_Rural and Agribusiness,1.0,1.0,48,22,0.4583333333333333,26,0.5416666666666666,0.00874056416368693,0.006582278481012658,0.2835937780966856,0.0006167705538454907
97,Specialization_Services Excellence,0.0,0.0,6441,2511,0.3898462971588263,3930,0.6101537028411738,0.9976162097735399,0.9949367088607595,0.002689517054129794,0.002025741431948071
98,Specialization_Services Excellence,1.0,1.0,26,6,0.23076923076923078,20,0.7692307692307693,0.0023837902264600714,0.005063291139240506,-0.7533249415660844,0.002025741431948071
99,Specialization_Supply Chain Management,0.0,0.0,6221,2405,0.3865937952097733,3816,0.6134062047902267,0.955502582439412,0.9660759493670886,-0.01100498726846398,0.0029849875327288187
100,Specialization_Supply Chain Management,1.0,1.0,246,112,0.45528455284552843,134,0.5447154471544715,0.044497417560588004,0.033924050632911394,0.27130693410403484,0.0029849875327288187
101,Specialization_Travel and Tourism,0.0,0.0,6326,2466,0.38981979133733796,3860,0.610180208662662,0.9797377830750894,0.9772151898734177,0.0025780840252647916,0.00030249489421237
102,Specialization_Travel and Tourism,1.0,1.0,141,51,0.3617021276595745,90,0.6382978723404256,0.02026221692491061,0.02278481012658228,-0.11733617484608751,0.00030249489421237
103,Country_Africa,0.0,0.0,6458,2516,0.38959430164137504,3942,0.610405698358625,0.9996027016289233,0.9979746835443037,0.0016299928675173503,0.00265435922326182
104,Country_Africa,1.0,1.0,9,1,0.1111111111111111,8,0.8888888888888888,0.0003972983710766786,0.0020253164556962027,-1.6287936789199842,0.00265435922326182
105,Country_Asia,0.0,0.0,6356,2482,0.3904971680302077,3874,0.6095028319697923,0.9860945570123163,0.9807594936708861,0.005424984557463119,0.0017614373201304543
106,Country_Asia,1.0,1.0,111,35,0.3153153153153153,76,0.6846846846846847,0.013905442987683751,0.019240506329113925,-0.3247374160370657,0.0017614373201304543
107,Country_Australia,0.0,0.0,6459,2515,0.38937916086081437,3944,0.6106208391391856,0.9992054032578467,0.9984810126582279,0.0007252295711653352,0.0004699046884992488
108,Country_Australia,1.0,1.0,8,2,0.25,6,0.75,0.0007945967421533572,0.0015189873417721519,-0.647964425908258,0.0004699046884992488
109,Country_Europe,0.0,0.0,6442,2508,0.38932008692952497,3934,0.610679913070475,0.9964243146603099,0.9959493670886076,0.00047676556365868037,5.9460134002624836e-05
110,Country_Europe,1.0,1.0,25,9,0.36,16,0.64,0.003575685339690107,0.004050632911392405,-0.12471628214371024,5.9460134002624836e-05
111,Country_India,0.0,0.0,1721,639,0.3712957582800697,1082,0.6287042417199302,0.25387365911799764,0.2739240506329114,-0.07601414226904035,0.0020702924103678695
112,Country_India,1.0,1.0,4746,1878,0.39570164348925413,2868,0.6042983565107459,0.7461263408820024,0.7260759493670886,0.02724032080854877,0.0020702924103678695
113,Country_North_america,0.0,0.0,6416,2503,0.39011845386533667,3913,0.6098815461346634,0.9944378228049265,0.9906329113924051,0.0038335319812134827,0.001997754477288881
114,Country_North_america,1.0,1.0,51,14,0.27450980392156865,37,0.7254901960784313,0.0055621771950735005,0.009367088607594937,-0.5212127202691142,0.001997754477288881
115,Occupation_Businessman,0.0,0.0,6460,2513,0.3890092879256966,3947,0.6109907120743034,0.9984108065156932,0.9992405063291139,-0.0008306753594032619,0.0006132814206786737
116,Occupation_Businessman,1.0,1.0,7,4,0.5714285714285714,3,0.42857142857142855,0.0015891934843067143,0.0007594936708860759,0.7383299352116327,0.0006132814206786737
117,Occupation_Housewife,0.0,0.0,6460,2510,0.38854489164086686,3950,0.6114551083591331,0.9972189114024632,1.0,-0.0027849630094863333,7.74522887024417e-06
118,Occupation_Housewife,1.0,1.0,7,7,1.0,0,0.0,0.0027810885975367503,0.0,0.0,7.74522887024417e-06
119,Occupation_Student,0.0,0.0,6332,2464,0.3891345546430828,3868,0.6108654453569172,0.9789431863329361,0.979240506329114,-0.00030366915992285015,4.3183345555833185e-06
120,Occupation_Student,1.0,1.0,135,53,0.3925925925925926,82,0.6074074074074074,0.021056813667063964,0.020759493670886076,0.01422052904772023,4.3183345555833185e-06
121,Occupation_Unemployed,0.0,0.0,2566,817,0.31839438815276694,1749,0.681605611847233,0.3245927691696464,0.4427848101265823,-0.31051251739874747,0.05943603873122042
122,Occupation_Unemployed,1.0,1.0,3901,1700,0.4357856959753909,2201,0.564214304024609,0.6754072308303536,0.5572151898734177,0.1923643112776976,0.05943603873122042
123,Occupation_Working Professional,0.0,0.0,5956,2040,0.3425117528542646,3916,0.6574882471457354,0.8104886769964244,0.9913924050632912,-0.20147305405228721,0.5957660657063842
124,Occupation_Working Professional,1.0,1.0,511,477,0.9334637964774951,34,0.06653620352250489,0.18951132300357568,0.008607594936708861,3.0918038290320315,0.5957660657063842
